DATA VENDA,PRODUTO,VALOR,ESTADO,REGIÃO
2017-01-05,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-05,Gol, R$ 42990.00 ,Amapá,Norte
2017-01-06,Up!, R$ 37990.00 ,Paraná,Sul
2017-01-06,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-06,Voyage, R$ 49990.00 ,Paraná,Sul
2017-01-06,SpaceFox, R$ 59160.00 ,Espírito Santo,Sudeste
2017-01-06,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-06,SpaceFox, R$ 59160.00 ,Mato Grosso,Centro-Oeste
2017-01-06,Voyage, R$ 49990.00 ,Pará,Norte
2017-01-07,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-07,Saveiro, R$ 47490.00 ,Amapá,Norte
2017-01-07,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-07,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-07,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-07,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-07,Saveiro, R$ 47490.00 ,Espírito Santo,Sudeste
2017-01-07,SpaceFox, R$ 59160.00 ,Espírito Santo,Sudeste
2017-01-07,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-07,Up!, R$ 37990.00 ,Roraima,Norte
2017-01-07,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-07,Gol, R$ 42990.00 ,Mato Grosso,Centro-Oeste
2017-01-07,Saveiro, R$ 47490.00 ,Bahia,Nordeste
2017-01-07,Saveiro, R$ 47490.00 ,Rio Grande do Sul,Sul
2017-01-07,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-07,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-08,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-08,SpaceFox, R$ 59160.00 ,Piauí,Nordeste
2017-01-08,Voyage, R$ 49990.00 ,Rio de Janeiro,Sudeste
2017-01-08,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-08,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-08,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-08,Fox, R$ 54750.00 ,Amazonas,Norte
2017-01-08,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-09,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-09,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-09,Gol, R$ 42990.00 ,Ceará,Nordeste
2017-01-09,Up!, R$ 37990.00 ,Paraná,Sul
2017-01-09,Up!, R$ 37990.00 ,Rio de Janeiro,Sudeste
2017-01-09,Fox, R$ 54750.00 ,Rio de Janeiro,Sudeste
2017-01-09,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-09,Fox, R$ 54750.00 ,Santa Catarina,Sul
2017-01-09,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-09,Gol, R$ 42990.00 ,Tocantins,Norte
2017-01-09,Up!, R$ 37990.00 ,Rio de Janeiro,Sudeste
2017-01-09,Saveiro, R$ 47490.00 ,Minas Gerais,Sudeste
2017-01-09,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-09,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-09,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-09,SpaceFox, R$ 59160.00 ,Goiás,Centro-Oeste
2017-01-09,Saveiro, R$ 47490.00 ,Espírito Santo,Sudeste
2017-01-09,Jetta, R$ 94190.00 ,Ceará,Nordeste
2017-01-10,Up!, R$ 37990.00 ,Pernambuco,Nordeste
2017-01-10,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-10,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-10,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-10,Up!, R$ 37990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-10,SpaceFox, R$ 59160.00 ,Paraíba,Nordeste
2017-01-10,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-10,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-10,Saveiro, R$ 47490.00 ,Pernambuco,Nordeste
2017-01-10,Fox, R$ 54750.00 ,Espírito Santo,Sudeste
2017-01-11,Jetta, R$ 94190.00 ,Pernambuco,Nordeste
2017-01-11,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-11,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-11,Jetta, R$ 94190.00 ,Amapá,Norte
2017-01-11,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-11,Voyage, R$ 49990.00 ,São Paulo,Sudeste
2017-01-11,Gol, R$ 42990.00 ,Mato Grosso,Centro-Oeste
2017-01-11,SpaceFox, R$ 59160.00 ,Ceará,Nordeste
2017-01-11,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-11,Up!, R$ 37990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-11,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-12,Fox, R$ 54750.00 ,Rio Grande do Sul,Sul
2017-01-12,Up!, R$ 37990.00 ,Pernambuco,Nordeste
2017-01-12,Voyage, R$ 49990.00 ,São Paulo,Sudeste
2017-01-12,Jetta, R$ 94190.00 ,Espírito Santo,Sudeste
2017-01-12,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-12,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-12,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-12,SpaceFox, R$ 59160.00 ,Bahia,Nordeste
2017-01-13,Saveiro, R$ 47490.00 ,Rio de Janeiro,Sudeste
2017-01-13,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-13,Gol, R$ 42990.00 ,Pará,Norte
2017-01-13,Fox, R$ 54750.00 ,Mato Grosso,Centro-Oeste
2017-01-13,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-13,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-13,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-13,Voyage, R$ 49990.00 ,Pernambuco,Nordeste
2017-01-13,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-13,Saveiro, R$ 47490.00 ,Amazonas,Norte
2017-01-13,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-13,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-13,Saveiro, R$ 47490.00 ,Minas Gerais,Sudeste
2017-01-13,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-13,Up!, R$ 37990.00 ,Espírito Santo,Sudeste
2017-01-13,Voyage, R$ 49990.00 ,Tocantins,Norte
2017-01-13,Up!, R$ 37990.00 ,Tocantins,Norte
2017-01-13,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-13,Gol, R$ 42990.00 ,Bahia,Nordeste
2017-01-13,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-14,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-14,Voyage, R$ 49990.00 ,Paraíba,Nordeste
2017-01-14,Jetta, R$ 94190.00 ,Amazonas,Norte
2017-01-14,Gol, R$ 42990.00 ,Piauí,Nordeste
2017-01-14,Saveiro, R$ 47490.00 ,Goiás,Centro-Oeste
2017-01-14,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-14,Up!, R$ 37990.00 ,Espírito Santo,Sudeste
2017-01-14,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-14,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-14,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-14,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-14,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-14,Gol, R$ 42990.00 ,Rondônia,Norte
2017-01-15,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-15,Gol, R$ 42990.00 ,Paraíba,Nordeste
2017-01-15,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-15,Fox, R$ 54750.00 ,Espírito Santo,Sudeste
2017-01-15,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-15,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-15,Saveiro, R$ 47490.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-15,Saveiro, R$ 47490.00 ,Espírito Santo,Sudeste
2017-01-15,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-15,Gol, R$ 42990.00 ,Paraná,Sul
2017-01-15,SpaceFox, R$ 59160.00 ,Minas Gerais,Sudeste
2017-01-15,Up!, R$ 37990.00 ,Rondônia,Norte
2017-01-15,Up!, R$ 37990.00 ,Roraima,Norte
2017-01-16,Voyage, R$ 49990.00 ,Minas Gerais,Sudeste
2017-01-16,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-16,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-16,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-16,Fox, R$ 54750.00 ,Alagoas,Nordeste
2017-01-16,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-16,Gol, R$ 42990.00 ,Santa Catarina,Sul
2017-01-16,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-16,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-16,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-16,Saveiro, R$ 47490.00 ,Paraíba,Nordeste
2017-01-16,Gol, R$ 42990.00 ,Roraima,Norte
2017-01-17,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-17,Fox, R$ 54750.00 ,Minas Gerais,Sudeste
2017-01-17,Jetta, R$ 94190.00 ,São Paulo,Sudeste
2017-01-17,Jetta, R$ 94190.00 ,Sergipe,Nordeste
2017-01-17,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-17,Gol, R$ 42990.00 ,Pará,Norte
2017-01-17,Fox, R$ 54750.00 ,Tocantins,Norte
2017-01-17,Saveiro, R$ 47490.00 ,São Paulo,Sudeste
2017-01-17,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-17,Up!, R$ 37990.00 ,Rio de Janeiro,Sudeste
2017-01-17,Voyage, R$ 49990.00 ,Rio de Janeiro,Sudeste
2017-01-17,SpaceFox, R$ 59160.00 ,Rio Grande do Sul,Sul
2017-01-17,SpaceFox, R$ 59160.00 ,Rio Grande do Sul,Sul
2017-01-17,Saveiro, R$ 47490.00 ,Amazonas,Norte
2017-01-17,Up!, R$ 37990.00 ,Maranhão,Nordeste
2017-01-17,Gol, R$ 42990.00 ,Bahia,Nordeste
2017-01-17,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-17,Fox, R$ 54750.00 ,Santa Catarina,Sul
2017-01-17,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-18,Up!, R$ 37990.00 ,Amazonas,Norte
2017-01-18,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-18,Fox, R$ 54750.00 ,Pernambuco,Nordeste
2017-01-18,Gol, R$ 42990.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-18,Voyage, R$ 49990.00 ,Pernambuco,Nordeste
2017-01-18,Jetta, R$ 94190.00 ,Roraima,Norte
2017-01-18,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-18,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-18,Up!, R$ 37990.00 ,Sergipe,Nordeste
2017-01-18,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-18,Gol, R$ 42990.00 ,Piauí,Nordeste
2017-01-18,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-19,Saveiro, R$ 47490.00 ,Minas Gerais,Sudeste
2017-01-19,SpaceFox, R$ 59160.00 ,Espírito Santo,Sudeste
2017-01-19,Saveiro, R$ 47490.00 ,Mato Grosso do Sul,Centro-Oeste
2017-01-19,Gol, R$ 42990.00 ,Roraima,Norte
2017-01-19,Gol, R$ 42990.00 ,Pará,Norte
2017-01-19,Jetta, R$ 94190.00 ,Rio de Janeiro,Sudeste
2017-01-19,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-19,Up!, R$ 37990.00 ,Pernambuco,Nordeste
2017-01-19,Gol, R$ 42990.00 ,Santa Catarina,Sul
2017-01-19,Fox, R$ 54750.00 ,Rio Grande do Sul,Sul
2017-01-20,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-20,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-20,Jetta, R$ 94190.00 ,Amazonas,Norte
2017-01-20,Gol, R$ 42990.00 ,Piauí,Nordeste
2017-01-20,SpaceFox, R$ 59160.00 ,Minas Gerais,Sudeste
2017-01-20,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-20,SpaceFox, R$ 59160.00 ,Pernambuco,Nordeste
2017-01-20,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-20,Voyage, R$ 49990.00 ,Rio Grande do Sul,Sul
2017-01-20,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-20,Gol, R$ 42990.00 ,Rio Grande do Norte,Nordeste
2017-01-20,Saveiro, R$ 47490.00 ,Espírito Santo,Sudeste
2017-01-20,Up!, R$ 37990.00 ,Rondônia,Norte
2017-01-20,Gol, R$ 42990.00 ,Maranhão,Nordeste
2017-01-20,Jetta, R$ 94190.00 ,Tocantins,Norte
2017-01-20,Gol, R$ 42990.00 ,Paraíba,Nordeste
2017-01-20,Saveiro, R$ 47490.00 ,Rio de Janeiro,Sudeste
2017-01-20,Fox, R$ 54750.00 ,Tocantins,Norte
2017-01-20,Voyage, R$ 49990.00 ,Rio de Janeiro,Sudeste
2017-01-20,Jetta, R$ 94190.00 ,Goiás,Centro-Oeste
2017-01-21,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-21,Gol, R$ 42990.00 ,Amazonas,Norte
2017-01-21,Voyage, R$ 49990.00 ,São Paulo,Sudeste
2017-01-21,Saveiro, R$ 47490.00 ,Alagoas,Nordeste
2017-01-21,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-21,Gol, R$ 42990.00 ,Amapá,Norte
2017-01-21,Saveiro, R$ 47490.00 ,Rio de Janeiro,Sudeste
2017-01-21,Saveiro, R$ 47490.00 ,Sergipe,Nordeste
2017-01-21,SpaceFox, R$ 59160.00 ,Goiás,Centro-Oeste
2017-01-22,SpaceFox, R$ 59160.00 ,Rio Grande do Sul,Sul
2017-01-22,Jetta, R$ 94190.00 ,Sergipe,Nordeste
2017-01-22,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-22,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-22,Fox, R$ 54750.00 ,Sergipe,Nordeste
2017-01-22,Jetta, R$ 94190.00 ,Minas Gerais,Sudeste
2017-01-23,Saveiro, R$ 47490.00 ,Paraíba,Nordeste
2017-01-23,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-23,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-23,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-23,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-23,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-23,Gol, R$ 42990.00 ,Rondônia,Norte
2017-01-23,SpaceFox, R$ 59160.00 ,Espírito Santo,Sudeste
2017-01-23,Voyage, R$ 49990.00 ,Espírito Santo,Sudeste
2017-01-23,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-23,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-23,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-23,Voyage, R$ 49990.00 ,Goiás,Centro-Oeste
2017-01-23,SpaceFox, R$ 59160.00 ,Mato Grosso,Centro-Oeste
2017-01-24,Gol, R$ 42990.00 ,Rondônia,Norte
2017-01-24,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-24,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-24,Saveiro, R$ 47490.00 ,Minas Gerais,Sudeste
2017-01-24,Up!, R$ 37990.00 ,Tocantins,Norte
2017-01-24,Up!, R$ 37990.00 ,Santa Catarina,Sul
2017-01-24,Fox, R$ 54750.00 ,Alagoas,Nordeste
2017-01-24,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-24,Up!, R$ 37990.00 ,Tocantins,Norte
2017-01-24,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-24,Up!, R$ 37990.00 ,Espírito Santo,Sudeste
2017-01-24,Up!, R$ 37990.00 ,Santa Catarina,Sul
2017-01-24,Gol, R$ 42990.00 ,Goiás,Centro-Oeste
2017-01-24,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-24,SpaceFox, R$ 59160.00 ,Rio de Janeiro,Sudeste
2017-01-24,Fox, R$ 54750.00 ,Rio de Janeiro,Sudeste
2017-01-24,Gol, R$ 42990.00 ,Ceará,Nordeste
2017-01-24,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-25,Gol, R$ 42990.00 ,Ceará,Nordeste
2017-01-25,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-25,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-25,Up!, R$ 37990.00 ,Bahia,Nordeste
2017-01-25,Gol, R$ 42990.00 ,Roraima,Norte
2017-01-25,Saveiro, R$ 47490.00 ,Goiás,Centro-Oeste
2017-01-25,Voyage, R$ 49990.00 ,Bahia,Nordeste
2017-01-25,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-25,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-25,Fox, R$ 54750.00 ,Espírito Santo,Sudeste
2017-01-25,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-25,Jetta, R$ 94190.00 ,Paraná,Sul
2017-01-25,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-25,SpaceFox, R$ 59160.00 ,Goiás,Centro-Oeste
2017-01-25,Voyage, R$ 49990.00 ,Rio Grande do Sul,Sul
2017-01-25,Gol, R$ 42990.00 ,Rio Grande do Sul,Sul
2017-01-26,Saveiro, R$ 47490.00 ,Sergipe,Nordeste
2017-01-26,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-26,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-26,Saveiro, R$ 47490.00 ,Goiás,Centro-Oeste
2017-01-26,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-26,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-27,Voyage, R$ 49990.00 ,Amazonas,Norte
2017-01-27,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-27,Saveiro, R$ 47490.00 ,Goiás,Centro-Oeste
2017-01-27,Voyage, R$ 49990.00 ,São Paulo,Sudeste
2017-01-27,Up!, R$ 37990.00 ,Goiás,Centro-Oeste
2017-01-27,Jetta, R$ 94190.00 ,Goiás,Centro-Oeste
2017-01-27,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-27,SpaceFox, R$ 59160.00 ,Espírito Santo,Sudeste
2017-01-27,Up!, R$ 37990.00 ,Rio de Janeiro,Sudeste
2017-01-27,Saveiro, R$ 47490.00 ,Tocantins,Norte
2017-01-28,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-28,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-28,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-28,Gol, R$ 42990.00 ,Paraíba,Nordeste
2017-01-28,Fox, R$ 54750.00 ,Alagoas,Nordeste
2017-01-28,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-28,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-28,Up!, R$ 37990.00 ,Sergipe,Nordeste
2017-01-28,Jetta, R$ 94190.00 ,Pernambuco,Nordeste
2017-01-28,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-29,Gol, R$ 42990.00 ,Rio de Janeiro,Sudeste
2017-01-29,Jetta, R$ 94190.00 ,Pará,Norte
2017-01-29,Fox, R$ 54750.00 ,Rio Grande do Sul,Sul
2017-01-29,Up!, R$ 37990.00 ,Pernambuco,Nordeste
2017-01-29,SpaceFox, R$ 59160.00 ,São Paulo,Sudeste
2017-01-29,Gol, R$ 42990.00 ,Espírito Santo,Sudeste
2017-01-29,Gol, R$ 42990.00 ,Paraíba,Nordeste
2017-01-29,Voyage, R$ 49990.00 ,Minas Gerais,Sudeste
2017-01-29,Saveiro, R$ 47490.00 ,Rio Grande do Sul,Sul
2017-01-29,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-29,Voyage, R$ 49990.00 ,Rio de Janeiro,Sudeste
2017-01-29,Fox, R$ 54750.00 ,Minas Gerais,Sudeste
2017-01-29,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-30,Fox, R$ 54750.00 ,Pernambuco,Nordeste
2017-01-30,Fox, R$ 54750.00 ,Sergipe,Nordeste
2017-01-30,Fox, R$ 54750.00 ,São Paulo,Sudeste
2017-01-30,Up!, R$ 37990.00 ,Minas Gerais,Sudeste
2017-01-30,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-30,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-30,Saveiro, R$ 47490.00 ,Espírito Santo,Sudeste
2017-01-30,Gol, R$ 42990.00 ,Roraima,Norte
2017-01-30,Gol, R$ 42990.00 ,Minas Gerais,Sudeste
2017-01-30,Up!, R$ 37990.00 ,São Paulo,Sudeste
2017-01-30,Up!, R$ 37990.00 ,Rio Grande do Sul,Sul
2017-01-30,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-31,Jetta, R$ 94190.00 ,Rio Grande do Sul,Sul
2017-01-31,Gol, R$ 42990.00 ,Pernambuco,Nordeste
2017-01-31,Saveiro, R$ 47490.00 ,Minas Gerais,Sudeste
2017-01-31,Voyage, R$ 49990.00 ,Rio Grande do Sul,Sul
2017-01-31,Gol, R$ 42990.00 ,São Paulo,Sudeste
2017-01-31,Gol, R$ 42990.00 ,Pernambuco,Nordeste
